codigo_base,tipo_avaliacao,tema_formatado,pergunta_formatada
Clinico_Id_NomeCompleto,Clinico,Identificação do Paciente,Nome completo
Clinico_Id_DataNasc,Clinico,Identificação do Paciente,Data de nascimento
Clinico_Id_Sexo,Clinico,Identificação do Paciente,Sexo
Clinico_Id_NomeMae,Clinico,Identificação do Paciente,Nome da mãe
Clinico_Id_Endereco,Clinico,Identificação do Paciente,Endereço
Clinico_Triagem_Realizada,Clinico,Triagem,Foi realizado triagem?
Clinico_Triagem_ClassificacaoCorreta,Clinico,Triagem,Realizada classificação pelo Protocolo de Manchester (adaptado)?
Clinico_HDA_QuadroClinico,Clinico,HDA,Possui quadro clínico do paciente?
Clinico_HDA_CondutaMedica,Clinico,HDA,Possui conduta proposta pelo médico?
Clinico_HDA_ExameFisico,Clinico,HDA,Possui exame físico do paciente?
Clinico_HDA_SinalComorbidades,Clinico,HDA,Comorbidades do paciente registradas em prontuário?
Clinico_HDA_SinalAlergias,Clinico,HDA,Alergias do paciente registradas em prontuário?
Clinico_HDA_HipoteseDiagnostica,Clinico,HDA,Possui Hipotese Diagnóstica?
Clinico_HDA_ExamesComplementares,Clinico,HDA,Exames complementares solicitados?
Clinico_Reconciliacao_MedsUso,Clinico,Reconciliação medicamentosa na admissão,Possui medicações que paciente faz o uso?
Clinico_Reconciliacao_HorarioDose,Clinico,Reconciliação medicamentosa na admissão,Possui horário da dose?
Clinico_Reconciliacao_Frequencia,Clinico,Reconciliação medicamentosa na admissão,Possui frequência?
Clinico_Reconciliacao_SinalAlergias,Clinico,Reconciliação medicamentosa na admissão,Alergias do paciente registradas em prontuário?
Clinico_Reconciliacao_ManterMed,Clinico,Reconciliação medicamentosa na admissão,Possui a informação se a medicação deve ser mantida ou não? Conciliado na prescrição? Há justificativa em caso de suspensão?
Clinico_Transporte_Diagnostico,Clinico,Check list de Transporte Seguro - SBAR,Possui diagnóstico?
Clinico_Transporte_SinalAlergias,Clinico,Check list de Transporte Seguro - SBAR,Possui sinalização de alergias?
Clinico_Transporte_SinalPrecaucoes,Clinico,Check list de Transporte Seguro - SBAR,Possui sinalização de precauções?
Clinico_Transporte_MotivoTransferencia,Clinico,Check list de Transporte Seguro - SBAR,Motivo da transferência registrado?
Clinico_Transporte_UnidadeOrigem,Clinico,Check list de Transporte Seguro - SBAR,Possui unidade de origem?
Clinico_Transporte_UnidadeDestino,Clinico,Check list de Transporte Seguro - SBAR,Possui unidade de destino?
Clinico_Transporte_IdRiscos,Clinico,Check list de Transporte Seguro - SBAR,Possui identificações dos riscos?
Clinico_Transporte_SSVVAtualizado,Clinico,Check list de Transporte Seguro - SBAR,Possui SSVV atualizados?
Clinico_Transporte_Criterios,Clinico,Check list de Transporte Seguro - SBAR,Possui critérios do transporte?
Clinico_Transporte_RecomendacoesPreenchidas,Clinico,Check list de Transporte Seguro - SBAR,Possui recomendações preenchidas para o setor de destino?
Clinico_TEV_Avaliacao24h,Clinico,Aplicação do Algoritmo de TEV,Realizado avaliação médica de TEV nas primeiras 24hrs?
Clinico_TEV_PrescricaoProtocolo,Clinico,Aplicação do Algoritmo de TEV,Prescrição esta conforme estabelecido no protocolo?
Clinico_TEV_ReavaliacaoEnfermagem,Clinico,Aplicação do Algoritmo de TEV,Houve reavaliação diária pela equipe de enfermagem?
Clinico_SAE_HistoricoEnf,Clinico,SAE ( sistematização da assistência de enfermagem),Possui histórico de enfermagem preenchido integralmente?
Clinico_SAE_DiagnosticoEnf,Clinico,SAE ( sistematização da assistência de enfermagem),Possui diagnóstico de enfermagem?
